0,"Name","ISO Code","DAFIF Code (Obsolete)"
1,"Airbus A220-100","CS1","BCS1"
2,"Airbus A220-300","CS3","BCS3"
3,"Airbus A318","318","A318"
4,"Airbus A319","319","A319"
5,"Airbus A319neo","31N","A19N"
6,"Airbus A320","320","A320"
7,"Airbus A320neo","32N","A20N"
8,"Airbus A321","321","A321"
9,"Airbus A321neo","32Q","A21N"
10,"Airbus A330-200","332","A332"
11,"Airbus A330-300","333","A333"
12,"Airbus A330-800neo","338","A338"
13,"Airbus A330-900neo","339","A339"
14,"Airbus A340-200","342","A342"
15,"Airbus A340-300","343","A343"
16,"Airbus A340-500","345","A345"
17,"Airbus A340-600","346","A346"
18,"Airbus A350-900","359","A359"
19,"Airbus A350-1000","351","A35K"
20,"Airbus A380-800","388","A388"
21,"Boeing 717","717","B712"
22,"Boeing 737-700","73G","B737"
23,"Boeing 737-800","738","B738"
24,"Boeing 737-900ER","739","B739"
25,"Boeing 737 MAX 7","7M7","B37M"
26,"Boeing 737 MAX 8","7M8","B38M"
27,"Boeing 737 MAX 9","7M9","B39M"
28,"Boeing 737 MAX 10","7MJ","B3XM"
29,"Boeing 747-400","744","B744"
30,"Boeing 747-8","748","B748"
31,"Boeing 757-200","752","B752"
32,"Boeing 757-300","753","B753"
33,"Boeing 767-300","763","B763"
34,"Boeing 767-400","764","B764"
35,"Boeing 777-200","772","B772"
36,"Boeing 777-200LR","77L","B77L"
37,"Boeing 777-300","773","B773"
38,"Boeing 777-300ER","77W","B77W"
39,"Boeing 777-8","778","B778"
40,"Boeing 777-9","779","B779"
41,"Boeing 787-8","788","B788"
42,"Boeing 787-9","789","B789"
43,"Boeing 787-10","78J","B78X"
44,"Canadair Regional Jet 200","CR2","CRJ2"
45,"Canadair Regional Jet 550","CR5","CRJ5"
46,"Canadair Regional Jet 700","CR7","CRJ7"
47,"Canadair Regional Jet 900","CR9","CRJ9"
48,"Embraer 170","E70","E170"
49,"Embraer 175","E75",""
50,"Embraer 175 (long wing)","E7W","E75L"
51,"Embraer 175 (short wing)","E7W","E75S"
52,"Embraer 190","E90","E190"
53,"Embraer 195","E95","E195"
54,"Embraer E190-E2","290","E290"
55,"Embraer E195-E2","295","E295"
56,"Embraer RJ135","ER3","E135"
57,"Embraer RJ140","ERD","E135"
58,"Embraer RJ145","ER4","E145"
